"3gv0A01-i2","3.40.50.2300","","3gv0A01"
"4oo3A01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4oo3A01"
"3i0pA02-i1","3.30.1370.60","Hypothetical oxidoreductase yiak; domain 2","3i0pA02"
"3onrJ00-i1","3.30.1660.10","Flavin-binding protein dodecin","3onrJ00"
"3gdoA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3gdoA01"
"4qu2A00-i1","2.60.120.1660","","4qu2A00"
"1rjlB01-i2","2.60.40.10","Immunoglobulins","1rjlB01"
"1zs4C00-i1","1.10.260.40","lambda repressor-like DNA-binding domains","1zs4C00"
"5d96C01-i2","2.60.40.10","Immunoglobulins","5d96C01"
"5e0jA02-i1","2.40.10.10","Trypsin-like serine proteases","5e0jA02"
"2prp000-i2","1.10.790.10","Major Prion Protein","2prp000"
"3en1A01-i1","3.90.380.10","Naphthalene 1,2-dioxygenase Alpha Subunit; Chain A, domain 1","3en1A01"
"4ny0A01-i1","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","4ny0A01"
"4qfvA01-i1","1.25.40.20","","4qfvA01"
"2qpqA01-i1","3.40.190.150","","2qpqA01"
"4ogqA00-i1","1.20.810.10","Cytochrome Bc1 Complex; Chain C","4ogqA00"
"2bmoB00-i1","3.10.450.50","","2bmoB00"
"1nhwC00-i1","1.10.8.400","","1nhwC00"
"2hszA02-i2","1.10.150.240","Putative phosphatase; domain 2","2hszA02"
"2v5cA02-i1","3.20.20.80","Glycosidases","2v5cA02"
"2v94B00-i1","3.30.70.330","","2v94B00"
"2gfqB01-i1","3.40.630.50","AF0625-like","2gfqB01"
"2izxB00-i1","1.20.890.10","cAMP-dependent Protein Kinase, Chain A","2izxB00"
"1v89A00-i2","2.30.29.30","Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)","1v89A00"
"2hraB01-i1","3.40.30.70","","2hraB01"
"1pybA00-i2","2.40.50.140","Nucleic acid-binding proteins","1pybA00"
"4y7uA00-i2","3.90.550.10","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A","4y7uA00"
"1f8tL01-i2","2.60.40.10","Immunoglobulins","1f8tL01"
"4wgfA00-i2","3.40.50.850","","4wgfA00"
"3o2jB01-i2","3.40.50.2300","","3o2jB01"
"3crkD00-i2","2.40.50.100","","3crkD00"
"3fj1A01-i2","3.40.50.10490","Glucose-6-phosphate isomerase like protein; domain 1","3fj1A01"
"1k4tA02-i1","1.10.10.41","Yeast DNA topoisomerase - domain 1","1k4tA02"
"3eloA00-i1","1.20.90.10","Phospholipase A2","3eloA00"
"2lwxA00-i1","1.10.8.840","","2lwxA00"
"1swyA00-i1","1.10.530.40","","1swyA00"
"4k6nA01-i1","3.30.470.10","","4k6nA01"
"2wp7A00-i1","3.90.1720.30","","2wp7A00"
"2uziL00-i2","2.60.40.10","Immunoglobulins","2uziL00"
"4jhvA02-i2","2.60.40.420","Cupredoxins -  blue copper proteins","4jhvA02"
"1zp6A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1zp6A00"
"1huwA00-i1","1.20.1250.10","","1huwA00"
"5im0B00-i2","3.30.70.330","","5im0B00"
"1a3wA01-i1","3.40.1380.20","","1a3wA01"
"3istA02-i2","3.40.50.1860","","3istA02"
"1c6xA00-i2","2.40.70.10","Acid Proteases","1c6xA00"
"2fhfA05-i1","2.60.40.1180","Golgi alpha-mannosidase II","2fhfA05"
"3p2aA02-i2","3.40.30.10","Glutaredoxin","3p2aA02"
"1x1oA02-i1","3.20.20.70","Aldolase class I","1x1oA02"
"3o0hB01-i1","3.50.50.60","","3o0hB01"
"4nguA00-i2","3.40.190.170","","4nguA00"
"3a3jA02-i2","2.60.410.10","Peptidoglycan synthesis regulatory factor (PBP3), Domain 2","3a3jA02"
"4uc4A02-i1","3.10.330.70","","4uc4A02"
"2b2tC00-i2","2.40.50.40","","2b2tC00"
"3p85A00-i1","3.90.226.10","2-enoyl-CoA Hydratase; Chain A, domain 1","3p85A00"
"3mp2A00-i2","3.90.70.90","","3mp2A00"
"1xdtR00-i2","2.10.25.10","Laminin","1xdtR00"
"3u26A02-i1","1.10.150.240","Putative phosphatase; domain 2","3u26A02"
"4iedC00-i1","3.40.710.10","DD-peptidase/beta-lactamase superfamily","4iedC00"
"1v53A00-i1","3.40.718.10","Isopropylmalate Dehydrogenase","1v53A00"
"4uc4A01-i1","2.30.30.140","","4uc4A01"
"1r1mA00-i1","3.30.1330.60","OmpA-like","1r1mA00"
"1umrC00-i1","3.10.100.10","Mannose-Binding Protein A, subunit A","1umrC00"
"5ifiC02-i2","3.30.300.30","","5ifiC02"
"1lpyA00-i1","1.10.530.40","","1lpyA00"
"3luqB00-i2","3.30.450.20","","3luqB00"
"4jzjA01-i2","2.60.40.10","Immunoglobulins","4jzjA01"
"1s28A00-i2","3.30.1460.10","","1s28A00"
"3ff1B01-i1","3.40.50.10490","Glucose-6-phosphate isomerase like protein; domain 1","3ff1B01"
"4kmdA02-i1","3.30.1360.230","","4kmdA02"
"1cyxA00-i1","2.60.40.420","Cupredoxins -  blue copper proteins","1cyxA00"
"2qkiE01-i2","2.20.130.20","","2qkiE01"
"3m70A01-i1","2.60.120.10","Jelly Rolls","3m70A01"
"3le4A00-i2","2.20.70.10","","3le4A00"
"1k4tA04-i1","1.10.132.10","","1k4tA04"
"4oh3A00-i1","1.20.1250.20","MFS general substrate transporter like domains","4oh3A00"
"3vtgA00-i2","3.40.390.10","Collagenase (Catalytic Domain)","3vtgA00"
"2aymA00-i2","3.30.70.330","","2aymA00"
"1on2A01-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","1on2A01"
"4aolA01-i1","1.10.560.10","GROEL, domain 1","4aolA01"
"3hczA00-i2","3.40.30.10","Glutaredoxin","3hczA00"
"5decC01-i1","3.30.460.10","Beta Polymerase, domain 2","5decC01"
"1wcuA00-i1","2.60.120.430","Galactose-binding lectin","1wcuA00"
"4nbzD00-i2","2.60.40.10","Immunoglobulins","4nbzD00"
"1ok8A04-i1","2.60.40.350","","1ok8A04"
"4xy5A00-i1","3.10.129.10","Hotdog Thioesterase ","4xy5A00"
"1am2A00-i1","2.170.16.10","Hedgehog/intein (Hint) domain","1am2A00"
"4aw5A01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","4aw5A01"
"1rmgA00-i2","2.160.20.10","Single-stranded right-handed beta-helix, Pectin lyase-like","1rmgA00"
"1f9rA00-i2","2.40.50.40","","1f9rA00"
"4ezeB00-i2","3.40.50.1000","","4ezeB00"
"1k4tA03-i2","3.90.15.10","Topoisomerase I; Chain A, domain 3","1k4tA03"
"1budA00-i1","3.40.390.10","Collagenase (Catalytic Domain)","1budA00"
"3q1cA01-i1","3.10.450.460","","3q1cA01"
"3pqvC01-i1","3.65.10.20","","3pqvC01"
"5kukA02-i1","1.10.287.70","","5kukA02"
"3m70A02-i2","3.40.50.150","Vaccinia Virus protein VP39","3m70A02"
"2fhfA01-i2","2.60.40.1110","","2fhfA01"
"1ycgA02-i2","3.40.50.360","","1ycgA02"
"3q1xA01-i2","1.10.3130.10","serine acetyltransferase, domain 1","3q1xA01"
"3q1xA02-i2","2.160.10.10","Hexapeptide repeat proteins","3q1xA02"
"4hbzA00-i2","3.40.50.1240","Phosphoglycerate mutase-like","4hbzA00"
"2x4fA02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","2x4fA02"
"5kukA01-i1","2.60.40.1400","G protein-activated inward rectifier potassium channel 1","5kukA01"
"2nr5B00-i1","1.10.287.750","SO2669-like","2nr5B00"
"1ccwA00-i2","3.40.50.280","Cobalamin (vitamin B12)-binding domain","1ccwA00"
"3edfA01-i1","2.60.40.10","Immunoglobulins","3edfA01"
"4ijaB02-i2","3.30.420.40","","4ijaB02"
"3e9vA00-i1","1.20.120.1120","","3e9vA00"
"3p26B02-i2","2.40.30.10","Translation factors","3p26B02"
"5fs6A03-i1","3.30.390.30","","5fs6A03"
"2np2A00-i1","4.10.520.10","IHF-like DNA-binding proteins","2np2A00"
"4bfcA00-i2","3.40.50.2000","Glycogen Phosphorylase B;","4bfcA00"
"2w6aB00-i1","1.20.5.170","","2w6aB00"
"3ntcH01-i2","2.60.40.10","Immunoglobulins","3ntcH01"
"3tcsA02-i2","3.20.20.120","Enolase superfamily","3tcsA02"
"3awdA00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3awdA00"
"3zv0C01-i1","2.30.130.70","","3zv0C01"
"2zuaB00-i1","3.30.70.141","","2zuaB00"
"1ok8A02-i1","3.30.67.10","Viral Envelope Glycoprotein, domain 2","1ok8A02"
"1ycgA01-i1","3.60.15.10","Metallo-beta-lactamase, chain A","1ycgA01"
"4egbB01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4egbB01"
"5kdoG00-i1","4.10.260.10","Transducin (heterotrimeric G protein), gamma chain","5kdoG00"
"4rigA01-i2","3.40.50.2000","Glycogen Phosphorylase B;","4rigA01"
"1yo8A01-i2","2.10.25.10","Laminin","1yo8A01"
"2yxlA04-i2","3.40.50.150","Vaccinia Virus protein VP39","2yxlA04"
"2ckwA04-i1","1.20.960.20","","2ckwA04"
"1y8aA01-i2","3.40.50.1000","","1y8aA01"
"3tjmA01-i2","3.40.50.1820","","3tjmA01"
"2olrA02-i1","2.170.8.10","Phosphoenolpyruvate Carboxykinase, domain 2","2olrA02"
"2olrA03-i1","3.90.228.20","","2olrA03"
"2olrA01-i1","3.40.449.10","Phosphoenolpyruvate Carboxykinase, domain 1","2olrA01"
"1blxA01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","1blxA01"
"1yo8A03-i2","2.10.25.10","Laminin","1yo8A03"
"3buxB03-i1","3.30.505.10","SHC Adaptor Protein","3buxB03"
"2h5oA00-i1","2.40.155.10","Green Fluorescent Protein","2h5oA00"
"4on1A01-i1","2.40.128.470","","4on1A01"
"4nufA02-i2","1.10.565.10","Retinoid X Receptor","4nufA02"
"4nuuB01-i1","1.20.1310.20","","4nuuB01"
"3n7zF01-i1","3.40.630.30","","3n7zF01"
"3h9eP01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3h9eP01"
"3ltlB01-i1","1.10.220.20","","3ltlB01"
"1ghcA00-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","1ghcA00"
"3n1mC01-i2","2.60.40.10","Immunoglobulins","3n1mC01"
"3cwcB01-i1","3.40.50.10350","Glycerate kinase; domain 1","3cwcB01"
"1yo8A05-i1","2.60.120.200","","1yo8A05"
"4zhvB00-i1","3.30.1330.60","OmpA-like","4zhvB00"
"2l4dA00-i2","1.10.760.10","Cytochrome c","2l4dA00"
"2m4nA00-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","2m4nA00"
"3d03A02-i1","3.30.750.180","","3d03A02"
"4nylL01-i2","2.60.40.10","Immunoglobulins","4nylL01"
"2kdyA02-i2","2.40.160.90","","2kdyA02"
"1y8aA02-i1","1.10.3870.10","AF1437-like domain superfamily","1y8aA02"
"3eeqA01-i1","3.40.50.11220","","3eeqA01"
"3nc3B00-i2","1.10.630.10","Cytochrome p450","3nc3B00"
"2d4zA00-i1","3.10.580.10","CBS-domain","2d4zA00"
"1dekA01-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1dekA01"
"1nubA01-i2","3.30.60.30","","1nubA01"
"4dp1X00-i2","2.60.40.420","Cupredoxins -  blue copper proteins","4dp1X00"
"3o6qC01-i1","1.20.5.460","Single helix bin","3o6qC01"
"2ly1A03-i1","1.10.10.1880","","2ly1A03"
"1yo8A02-i1","2.10.25.10","Laminin","1yo8A02"
"1yxeA01-i1","3.50.4.10","Hepatocyte Growth Factor","1yxeA01"
"4my5D01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","4my5D01"
"1ytcA00-i2","1.10.760.10","Cytochrome c","1ytcA00"
"2n3gA00-i2","3.30.160.20","","2n3gA00"
"4fc7D00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4fc7D00"
"3c1lC02-i1","1.20.1290.10","AhpD-like","3c1lC02"
"2ly1A01-i1","1.10.10.1880","","2ly1A01"
"1t9mA00-i2","2.30.110.10","Electron Transport, Fmn-binding Protein; Chain A","1t9mA00"
"2wylC00-i2","3.60.15.10","Metallo-beta-lactamase, chain A","2wylC00"
"1qokA01-i2","2.60.40.10","Immunoglobulins","1qokA01"
"3c0tA00-i1","2.40.320.10","Hypothetical Protein Pfu-838710-001","3c0tA00"
"2rqcA00-i2","3.30.70.330","","2rqcA00"
"2uwjE00-i1","1.20.5.420","Immunoglobulin FC, subunit C","2uwjE00"
"5kj4C02-i2","2.60.40.60","Cadherins","5kj4C02"
"4b3xA02-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","4b3xA02"
"4on1A02-i2","3.40.390.10","Collagenase (Catalytic Domain)","4on1A02"
"1v5tA00-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","1v5tA00"
"1pbjA00-i2","3.10.580.10","CBS-domain","1pbjA00"
"2innD00-i2","1.10.620.20","Ribonucleotide Reductase, subunit A","2innD00"
"1dekA02-i1","1.10.238.70","","1dekA02"
"3imnA02-i1","3.10.540.20","","3imnA02"
"2yq5A02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","2yq5A02"
"1g7yB00-i2","2.60.120.200","","1g7yB00"
"2r6uA01-i2","3.10.180.10","2,3-Dihydroxybiphenyl 1,2-Dioxygenase, domain 1","2r6uA01"
"1lbqA02-i1","3.40.50.1400","","1lbqA02"
"3vgsA00-i1","3.30.70.141","","3vgsA00"
"1s5lH00-i1","1.20.5.880","Photosystem q(b) protein (single helix)","1s5lH00"
"3gasA01-i2","3.20.180.10","PNP-oxidase like","3gasA01"
"3s5sA01-i2","3.30.390.10","Enolase-like, N-terminal domain","3s5sA01"
"2qt1A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2qt1A00"
"2af0A01-i1","1.10.196.10","","2af0A01"
"4evqA02-i2","3.40.50.2300","","4evqA02"
"2kdyA01-i1","2.60.40.1980","","2kdyA01"
"2ourA00-i1","1.10.1300.10","Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b","2ourA00"
"2ln3A00-i1","3.30.110.140","","2ln3A00"
"2b1yA00-i1","4.10.1210.10","Atu1913-like","2b1yA00"
"2ecbA01-i2","1.10.10.60","Homeodomain-like","2ecbA01"
"2cc6A00-i1","3.30.1660.10","Flavin-binding protein dodecin","2cc6A00"
"2ckwA03-i2","3.30.70.270","","2ckwA03"
"4afiB00-i1","3.30.450.50","","4afiB00"
"5dtfA01-i2","2.60.40.10","Immunoglobulins","5dtfA01"
"3p2hA00-i2","3.40.630.30","","3p2hA00"
"1unnC00-i2","3.30.1490.100","","1unnC00"
"3s5sA02-i2","3.20.20.120","Enolase superfamily","3s5sA02"
"4ap3A01-i1","3.50.50.60","","4ap3A01"
"2o8kA01-i1","1.10.10.60","Homeodomain-like","2o8kA01"
"4evqA01-i2","3.40.50.2300","","4evqA01"
"2lpeA02-i1","1.10.150.50","Transcription Factor, Ets-1","2lpeA02"
"2lauA00-i1","3.30.40.180","","2lauA00"
"2yxlA03-i1","3.30.70.1170","Sun protein; domain 3","2yxlA03"
"2dn7A00-i2","2.60.40.10","Immunoglobulins","2dn7A00"
"2yxlA02-i1","1.10.287.730","Helix hairpin bin","2yxlA02"
"2l21A00-i2","2.70.130.10","Cation-dependent Mannose-6-phosphate Receptor; Chain A","2l21A00"
"1bo4A00-i2","3.40.630.30","","1bo4A00"
"1blxA02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","1blxA02"
"2ckwA02-i1","1.10.1220.100","","2ckwA02"
"2enmA00-i1","2.30.30.40","SH3 Domains","2enmA00"
"1q9uA00-i1","3.30.310.70","TT1751-like","1q9uA00"
"2x4gA00-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","2x4gA00"
"3rfeA00-i2","3.80.10.10","Ribonuclease Inhibitor","3rfeA00"
"5g0tC00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","5g0tC00"
"4pfiA00-i1","3.40.190.170","","4pfiA00"
"2fazA00-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","2fazA00"
"3dssA00-i1","1.25.40.120","Protein prenylyltransferase","3dssA00"
"1cr9H01-i2","2.60.40.10","Immunoglobulins","1cr9H01"
"5eooA00-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","5eooA00"
"2jixD01-i2","2.60.40.10","Immunoglobulins","2jixD01"
"4fzeH01-i2","2.60.40.10","Immunoglobulins","4fzeH01"
"1ifqB00-i2","3.30.450.50","","1ifqB00"
"4c6eA00-i1","3.20.20.140","Metal-dependent hydrolases","4c6eA00"
"5u25A02-i1","3.50.50.60","","5u25A02"
"2khqA01-i2","1.10.150.130","","2khqA01"
"1w70A00-i2","2.30.30.40","SH3 Domains","1w70A00"
"4rflA01-i2","3.40.50.1970","","4rflA01"
"4nooB00-i1","1.10.8.1160","","4nooB00"
"2cshA01-i1","3.30.160.60","Classic Zinc Finger","2cshA01"
"2r6jA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","2r6jA01"
"4la1A04-i1","3.30.390.30","","4la1A04"
"3i7fB02-i2","3.30.930.10","Bira Bifunctional Protein; Domain 2","3i7fB02"
"5ljyH00-i2","2.60.40.10","Immunoglobulins","5ljyH00"
"1z3iX01-i1","3.40.50.10810","Tandem AAA-ATPase domain","1z3iX01"
"4wftB00-i2","3.30.160.20","","4wftB00"
"1z3iX02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1z3iX02"
"1e5xB01-i2","3.40.50.1100","","1e5xB01"
"3vnyA02-i2","3.20.20.80","Glycosidases","3vnyA02"
"2v72A00-i1","2.60.120.260","Galactose-binding domain-like","2v72A00"
"5e6pA01-i1","1.10.506.10","GTPase Activation - p120gap; domain 1","5e6pA01"
"5cm2M00-i2","2.20.25.10","","5cm2M00"
"2gf2A01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","2gf2A01"
"4pj6A02-i2","1.10.390.60","","4pj6A02"
"1x5fA00-i2","2.60.40.10","Immunoglobulins","1x5fA00"
"4n1dA00-i2","2.10.90.10","Cystine-knot cytokines","4n1dA00"
"4pv2B00-i1","3.60.20.30","(Glycosyl)asparaginase","4pv2B00"
"2g0cA00-i1","3.30.70.330","","2g0cA00"
"4qhfA00-i1","3.30.2010.10","Metalloproteases (""zincins""), catalytic domain","4qhfA00"
"2wshB00-i1","3.40.1440.40","","2wshB00"
"1ddgA03-i2","3.40.50.80","Nucleotide-binding domain of ferredoxin-NADP reductase (FNR) module","1ddgA03"
"4p5aC00-i2","3.30.1360.170","","4p5aC00"
"4rflA02-i2","1.20.1090.10","Dehydroquinate synthase-like - alpha domain","4rflA02"
"5e6pA02-i1","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","5e6pA02"
"4l6xA02-i1","2.170.160.10","Endo-1,4-beta-glucanase f.  Domain 2","4l6xA02"
"5cflA02-i1","3.40.50.12100","","5cflA02"
"3pe0A02-i1","1.20.58.60","","3pe0A02"
"1q0eA00-i2","2.60.40.200","","1q0eA00"
"2arpA00-i2","2.10.90.10","Cystine-knot cytokines","2arpA00"
"1xk7C01-i1","3.40.50.10540","Crotonobetainyl-coa:carnitine coa-transferase; domain 1","1xk7C01"
"4pj6A03-i1","2.60.40.1910","","4pj6A03"
"1qxnA00-i2","3.40.250.10","Oxidized Rhodanese, domain 1","1qxnA00"
"3ddjA02-i1","3.10.580.10","CBS-domain","3ddjA02"
"3tgvA00-i2","2.30.110.10","Electron Transport, Fmn-binding Protein; Chain A","3tgvA00"
"4il1B01-i2","1.10.238.10","EF-hand","4il1B01"
"4pj6A04-i1","1.25.50.20","","4pj6A04"
"4muvA00-i2","2.60.120.10","Jelly Rolls","4muvA00"
"1ddgA01-i2","2.40.30.10","Translation factors","1ddgA01"
"3mc0B02-i1","2.40.50.110","","3mc0B02"
"3clwC01-i2","2.60.40.1180","Golgi alpha-mannosidase II","3clwC01"
"4ls9A01-i1","3.90.1640.10","inorganic pyrophosphatase (n-terminal core)","4ls9A01"
"2ef0A02-i1","3.40.50.1370","","2ef0A02"
"4c7oA01-i1","1.20.120.140","","4c7oA01"
"2ef0A01-i1","3.40.50.1370","","2ef0A01"
"3hrwA00-i2","1.10.490.10","Globins","3hrwA00"
"4cknD00-i1","2.170.210.20","","4cknD00"
"2r6jA02-i1","3.90.25.10","UDP-galactose 4-epimerase, domain 1","2r6jA02"
"3ktnA00-i1","3.40.1190.20","","3ktnA00"
"3pe0A01-i1","1.20.58.60","","3pe0A01"
"1z3iX03-i1","1.20.120.850","","1z3iX03"
"2eaqA00-i2","2.30.42.10","","2eaqA00"
"2i5pO02-i2","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","2i5pO02"
"4c7oA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","4c7oA02"
"1ppoA00-i2","3.90.70.10","Cysteine proteinases","1ppoA00"
"1kskA01-i2","3.10.290.10","Structural Genomics Hypothetical 15.5 Kd Protein In Mrca-pcka Intergenic Region; Chain","1kskA01"
"2bp3A00-i1","2.60.40.10","Immunoglobulins","2bp3A00"
"1kskA02-i2","3.30.2350.10","Pseudouridine synthase","1kskA02"
"4pvdD00-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4pvdD00"
"2qzaB01-i1","2.160.20.80","E3 ubiquitin-protein ligase SopA ","2qzaB01"
"4jo1L01-i2","2.60.40.10","Immunoglobulins","4jo1L01"
"2xy4A02-i1","3.40.50.1980","Nitrogenase molybdenum iron protein domain","2xy4A02"
"4c2mC01-i1","3.30.1360.270","","4c2mC01"
"3merA00-i2","3.40.50.150","Vaccinia Virus protein VP39","3merA00"
"5bv7B01-i2","2.60.40.10","Immunoglobulins","5bv7B01"
"3pgkA02-i1","3.40.50.1260","","3pgkA02"
"2kzhA00-i1","3.20.20.70","Aldolase class I","2kzhA00"
"1ul4A01-i1","4.10.1100.10","DNA-binding domain of squamosa promoter binding protein-like 12 (lacking the second zinc- binding site)","1ul4A01"
"3agdB02-i1","3.30.750.24","SpoIIaa-like","3agdB02"
"3lpxB02-i1","3.30.1360.40","","3lpxB02"
"2i5pO01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","2i5pO01"
"4gniB01-i2","3.30.420.40","","4gniB01"
"4ojmX02-i2","1.10.240.10","Tyrosyl-Transfer RNA Synthetase","4ojmX02"
"1ddgA02-i1","1.20.990.10","NADPH-cytochrome p450 Reductase; Chain A, domain 3","1ddgA02"
"2scpA00-i1","1.10.238.10","EF-hand","2scpA00"
"4zf7B00-i1","1.20.1250.10","","4zf7B00"
"4la1A02-i1","3.50.50.60","","4la1A02"
"2dhyA00-i2","1.10.8.10","DNA helicase RuvA subunit, C-terminal domain","2dhyA00"
"4whtB01-i2","2.60.40.10","Immunoglobulins","4whtB01"
"2eigA00-i2","2.60.120.200","","2eigA00"
"1h3gB03-i1","2.60.40.1180","Golgi alpha-mannosidase II","1h3gB03"
"1i7wB00-i1","4.10.900.10","TCF3-CBD (Catenin binding domain)","1i7wB00"
"2v7qJ00-i1","1.20.5.500","Single helix bin","2v7qJ00"
"2xmrA00-i2","3.40.50.1820","","2xmrA00"
"5b1aE00-i1","1.25.40.40","","5b1aE00"
"2fvtA01-i1","3.40.1230.10","","2fvtA01"
"3ntvA00-i2","3.40.50.150","Vaccinia Virus protein VP39","3ntvA00"
"4wb0A02-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","4wb0A02"
"2w6kA00-i1","3.30.420.180","Biosynthetic like domain","2w6kA00"
"1irxA03-i1","1.10.10.860","","1irxA03"
"5ce8A02-i2","3.20.10.10","D-amino Acid Aminotransferase, subunit A, domain 2","5ce8A02"
"1w2yA00-i1","1.10.4010.10","Type II deoxyuridine triphosphatase","1w2yA00"
"3abfA00-i2","3.30.429.10","Macrophage Migration Inhibitory Factor","3abfA00"
"3k8pC01-i1","1.20.58.1440","","3k8pC01"
"4gmuA02-i1","2.170.8.10","Phosphoenolpyruvate Carboxykinase, domain 2","4gmuA02"
"2kkvA01-i2","1.10.150.130","","2kkvA01"
"4x0yE00-i1","2.60.175.10","Polyomavirus Vp1, chain A","4x0yE00"
"4kyxA00-i2","3.90.79.10","Nucleoside Triphosphate Pyrophosphohydrolase","4kyxA00"
"5e8eA01-i2","2.60.40.10","Immunoglobulins","5e8eA01"
"4qthB01-i2","2.60.40.10","Immunoglobulins","4qthB01"
"2ongA02-i2","1.10.600.10","Farnesyl Diphosphate Synthase","2ongA02"
"3c02A00-i1","1.20.1080.10","Glycerol uptake facilitator protein.","3c02A00"
"5d6cB01-i2","2.60.40.10","Immunoglobulins","5d6cB01"
"3dydA01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","3dydA01"
"3dfeA00-i2","3.30.70.120","","3dfeA00"
"1hulA00-i1","1.20.1250.10","","1hulA00"
"5ce8A01-i2","3.30.470.10","","5ce8A01"
"2krnA00-i2","2.30.30.40","SH3 Domains","2krnA00"
"3op1A01-i1","3.40.50.620","HUPs","3op1A01"
"3qynD00-i1","2.60.40.720","","3qynD00"
"2emaA01-i2","3.30.160.60","Classic Zinc Finger","2emaA01"
"3swyA00-i1","1.20.5.300","","3swyA00"
"3ejkA00-i2","2.60.120.10","Jelly Rolls","3ejkA00"
"4c68A00-i1","3.40.630.170","","4c68A00"
"1yhfA01-i2","2.60.120.10","Jelly Rolls","1yhfA01"
"1g6sA02-i2","3.65.10.10","","1g6sA02"
"4r16A01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4r16A01"
"1bev300-i2","2.60.120.20","","1bev300"
"2w00A06-i1","1.10.10.2110","","2w00A06"
"4xoxA01-i2","3.40.47.10","","4xoxA01"
"4cs5B00-i2","3.70.10.10","","4cs5B00"
"2i7xA02-i2","3.40.50.10890","","2i7xA02"
"2zjsH01-i2","2.60.40.10","Immunoglobulins","2zjsH01"
"4tvfA00-i2","1.10.630.10","Cytochrome p450","4tvfA00"
"2fulB00-i2","1.25.40.180","","2fulB00"
"4e5yC01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4e5yC01"
"1s6bB00-i1","1.20.90.10","Phospholipase A2","1s6bB00"
"4ckbA02-i1","3.20.100.20","","4ckbA02"
"1mc8A02-i2","1.10.150.20","5' to 3' exonuclease, C-terminal subdomain","1mc8A02"
"3vz9B00-i1","3.30.457.50","","3vz9B00"
"3vr4A02-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3vr4A02"
"4nzqA01-i1","2.40.20.10","Plasminogen Kringle 4","4nzqA01"
"3dfzB01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3dfzB01"
"3un1C00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3un1C00"
"2zvbA02-i1","3.30.950.10","Methyltransferase, Cobalt-precorrin-4 Transmethylase; Domain 2","2zvbA02"
"4zdfB00-i1","3.90.226.10","2-enoyl-CoA Hydratase; Chain A, domain 1","4zdfB00"
"4olzH01-i2","2.60.40.10","Immunoglobulins","4olzH01"
"1rquA01-i1","1.20.5.710","Single helix bin","1rquA01"
"2w00A05-i1","1.20.58.2040","","2w00A05"
"3glkA03-i1","3.30.1490.20","ATP-grasp fold, A domain","3glkA03"
"2cbzA00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2cbzA00"
"4hwuA00-i2","2.60.40.10","Immunoglobulins","4hwuA00"
